order_id,customer_id,late_delivery_risk,shipping_mode,category_name,order_date,item_price
180517,20755,0,Standard Class,Sporting Goods,2018-01-31 22:56:00,327.75
179254,19492,1,Standard Class,Sporting Goods,2018-01-13 12:27:00,327.75
179253,19491,0,Standard Class,Sporting Goods,2018-01-13 12:06:00,327.75
179252,19490,0,Standard Class,Sporting Goods,2018-01-13 11:45:00,327.75
179251,19489,0,Standard Class,Sporting Goods,2018-01-13 11:24:00,327.75
179250,19488,0,Standard Class,Sporting Goods,2018-01-13 11:03:00,327.75
179249,19487,1,First Class,Sporting Goods,2018-01-13 10:42:00,327.75
179248,19486,1,First Class,Sporting Goods,2018-01-13 10:21:00,327.75
179247,19485,1,Second Class,Sporting Goods,2018-01-13 10:00:00,327.75
179246,19484,1,First Class,Sporting Goods,2018-01-13 09:39:00,327.75
179245,19483,0,Second Class,Sporting Goods,2018-01-13 09:18:00,327.75
179244,19482,1,Second Class,Sporting Goods,2018-01-13 08:57:00,327.75
179243,19481,1,Second Class,Sporting Goods,2018-01-13 08:36:00,327.75
179242,19480,1,First Class,Sporting Goods,2018-01-13 08:15:00,327.75
179241,19479,1,First Class,Sporting Goods,2018-01-13 07:54:00,327.75
179240,19478,1,First Class,Sporting Goods,2018-01-13 07:33:00,327.75
179239,19477,1,Second Class,Sporting Goods,2018-01-13 07:12:00,327.75
179238,19476,1,First Class,Sporting Goods,2018-01-13 06:51:00,327.75
179237,19475,1,First Class,Sporting Goods,2018-01-13 06:30:00,327.75
179236,19474,0,Same Day,Sporting Goods,2018-01-13 06:09:00,327.75
179235,19473,0,Same Day,Sporting Goods,2018-01-13 05:48:00,327.75
179234,19472,1,Standard Class,Sporting Goods,2018-01-13 05:27:00,327.75
179233,19471,1,Second Class,Sporting Goods,2018-01-13 05:06:00,327.75
179232,19470,0,Second Class,Sporting Goods,2018-01-13 04:45:00,327.75
179231,19469,0,Second Class,Sporting Goods,2018-01-13 04:24:00,327.75
179230,19468,1,Second Class,Sporting Goods,2018-01-13 04:03:00,327.75
179229,19467,1,Second Class,Sporting Goods,2018-01-13 03:42:00,327.75
179228,19466,0,Standard Class,Sporting Goods,2018-01-13 03:21:00,327.75
179227,19465,0,Standard Class,Sporting Goods,2018-01-13 03:00:00,327.75
179226,19464,0,Standard Class,Sporting Goods,2018-01-13 02:39:00,327.75
179225,19463,1,Standard Class,Sporting Goods,2018-01-13 02:18:00,327.75
179224,19462,1,Standard Class,Sporting Goods,2018-01-13 01:57:00,327.75
179223,19461,0,Standard Class,Sporting Goods,2018-01-13 01:36:00,327.75
179222,19460,1,First Class,Sporting Goods,2018-01-13 01:15:00,327.75
179221,19459,1,First Class,Sporting Goods,2018-01-13 00:54:00,327.75
179220,19458,1,First Class,Sporting Goods,2018-01-13 00:33:00,327.75
179219,19457,1,First Class,Sporting Goods,2018-01-13 00:12:00,327.75
179218,19456,1,First Class,Sporting Goods,2018-01-12 23:51:00,327.75
179217,19455,1,Same Day,Sporting Goods,2018-01-12 23:30:00,327.75
179216,19454,0,Same Day,Sporting Goods,2018-01-12 23:09:00,327.75
179215,19453,1,Same Day,Sporting Goods,2018-01-12 22:48:00,327.75
179214,19452,1,Same Day,Sporting Goods,2018-01-12 22:27:00,327.75
179213,19451,0,Standard Class,Sporting Goods,2018-01-12 22:05:00,327.75
179212,19450,0,Standard Class,Sporting Goods,2018-01-12 21:44:00,327.75
179211,19449,0,Standard Class,Sporting Goods,2018-01-12 21:23:00,327.75
179210,19448,1,Standard Class,Sporting Goods,2018-01-12 21:02:00,327.75
179209,19447,1,Second Class,Sporting Goods,2018-01-12 20:41:00,327.75
179208,19446,0,Standard Class,Sporting Goods,2018-01-12 20:20:00,327.75
71956,9083,1,Second Class,Cleats,2016-02-24 13:57:00,59.99000168
113598,4741,0,Second Class,Shop By Sport,2016-10-25 14:39:00,39.99000168
77757,639,1,Second Class,Women's Apparel,2016-03-30 04:37:00,50.0
114401,9702,0,Second Class,Shop By Sport,2016-10-30 01:31:00,39.99000168
119405,9114,1,Second Class,Women's Apparel,2016-11-28 01:18:00,50.0
125135,1362,1,Second Class,Women's Apparel,2016-12-31 15:47:00,50.0
50842,8011,1,Second Class,Women's Apparel,2015-10-25 06:24:00,50.0
90273,3296,0,Second Class,Electronics,2016-06-11 15:12:00,44.99000168
102921,3182,1,Second Class,Boxing & MMA,2016-08-24 21:45:00,54.97000122
80250,7864,1,Second Class,Cleats,2016-04-13 10:12:00,59.99000168
86866,11169,1,Second Class,Cleats,2016-05-22 14:10:00,59.99000168
110025,5197,0,Second Class,Cardio Equipment,2016-10-04 22:55:00,99.98999786
116033,1535,1,Second Class,Shop By Sport,2016-11-08 12:32:00,39.99000168
116462,6122,1,Second Class,Trade-In,2016-11-11 05:21:00,21.98999977
121134,9451,1,Second Class,Electronics,2016-12-08 00:14:00,31.98999977
