customer_id,customer_lat,customer_lon,total_sales,total_orders,avg_discount,return_rate,recency
1,25.95364761,-97.5076828,472.4500122,1,0.059999999,0.0,793
2,38.37559509,-104.7260208,1618.6600417900004,4,0.1260000006,0.0,137
3,18.025375370000003,-66.61508178999999,3189.2000370200003,5,0.1050000006666666,0.0,230
4,33.67002106,-112.2470779,1480.70999322,4,0.1350000006428571,0.0,381
5,18.35910416,-66.07791138,1101.91999814,3,0.1400000019999999,0.0,458
6,40.87154007,-74.12263488999999,2954.32003014,4,0.1066666674666666,0.0,647
7,18.359094620000004,-66.07995606000001,4869.64007194,7,0.1231818185454545,0.0,221
8,34.02827453999999,-118.23913569999996,3411.27000812,8,0.0926315785789473,0.0,127
9,18.02528,-66.61306763000002,2947.4600696900006,5,0.0971428569285714,0.0,141
10,38.47135925,-77.41419983000002,1130.05000676,2,0.084999999375,0.0,308
11,18.025375370000003,-66.61508178999999,2159.28000637,4,0.118333335,0.0,372
12,25.91337204000001,-97.44564819,5553.770046339998,8,0.0796428576071428,0.0,256
13,18.35908699,-66.07793427,2814.8600188400005,4,0.1106250010624999,0.0,194
14,33.98892211999999,-118.0814438,2159.2400398500004,7,0.0976923066153846,0.0,159
15,34.11307144,-117.508728,226.18000032,1,0.080000001,0.0,421
16,18.29652023,-66.04867553999999,2169.97002785,6,0.0811764710588235,0.1176470588235294,124
17,42.20061112,-83.24320983999999,3882.8100891,5,0.078235294,0.0,285
18,38.00925446,-122.11871339999998,3255.3200149,6,0.0733333338666666,0.2,406
19,18.35910605999999,-66.07789612000003,3993.23001889,8,0.0883333338333333,0.0,465
20,40.7571907,-74.02506256,1508.6800307,4,0.0616666668333333,0.0,292
21,18.02520371,-66.61289215,2517.670009680001,4,0.1023529419999999,0.0,296
22,40.80894089000002,-74.03285980000001,2515.20003894,5,0.0881249991875,0.0,388
23,18.018362050000004,-66.61623383000003,3683.32999017,6,0.10200000055,0.15,502
24,18.35124588,-65.96308898999999,2500.63000503,4,0.0913333348,0.3333333333333333,685
25,33.67002106,-112.2470779,791.39000696,2,0.18250000025,0.0,642
26,37.641437530000005,-121.87648770000004,2998.90007785,5,0.0653846149230769,0.0,191
27,18.35900879,-66.07815552,1839.9099998500003,4,0.0999999988181818,0.3636363636363636,302
28,46.14056015,-122.9390869,1961.56999982,4,0.091428572,0.0,297
29,32.65819931,-97.40261078,1237.6800308,2,0.066,0.0,355
30,18.1464901,-66.54896544999998,999.20001509,2,0.12124999925,0.0,581
31,35.13143921000002,-106.5452042,3358.11000065,6,0.1062500015416666,0.2083333333333333,528
32,18.227573400000004,-66.04343414000002,3082.28003509,5,0.094117647117647,0.0,327
33,36.95009995,-76.24848938,1183.87001423,2,0.0740000011999999,0.0,780
34,18.14657784,-66.27722168000001,2687.99003996,7,0.0806249996875,0.0,133
35,32.68920898,-97.39685059,2115.82003783,4,0.0938461545384615,0.0769230769230769,403
36,18.2275734,-66.04344177,1215.1799926,2,0.1116666665,0.0,168
37,36.94044876,-76.25640106000002,1213.26999274,3,0.0810000011999999,0.0,177
38,30.24161910999999,-97.89144134999998,2420.51004416,6,0.0956250009374999,0.0,333
39,18.22408485,-66.04698181000002,2719.7500495500003,5,0.0788235298235294,0.0,235
40,33.56687927,-117.76332090000002,4634.460037449999,7,0.1216666673888888,0.0,152
41,40.67569351,-73.87450408999999,2698.4100552000004,4,0.1000000025833333,0.0,137
42,33.83944702,-118.19292450000006,2938.27001182,7,0.1033333338888888,0.0,248
43,18.27657318,-66.03531647,1098.4800109,2,0.0516666661666666,0.0,216
44,38.30553055,-122.2734375,2609.54003521,6,0.128750000375,0.0,323
45,39.71010208,-105.02707669999997,3006.540061970001,5,0.0839999990666666,0.0,218
46,33.065818789999994,-97.36239623999997,3521.9200555400007,5,0.0952631585789473,0.0,353
47,18.22754669,-66.04360199,615.8600006,1,0.1033333329999999,0.0,622
48,41.347351070000016,-81.83055115,3268.6800385,4,0.0593333324666666,0.0,172
49,18.25029564,-66.07608795,1226.7800063999998,3,0.105000000375,0.5,629
50,33.61837387000001,-117.13446810000003,1866.28002163,4,0.0730769225384615,0.0,251
51,18.22563362,-66.04745483000002,4116.67003649,7,0.1035000011499999,0.0,269
52,41.89083098999999,-87.63043213000002,1758.3500137,4,0.1455555557777778,0.0,138
53,34.05915450999999,-84.35758209000002,4357.05006795,6,0.0733333340555555,0.2222222222222222,477
54,18.02538109,-66.61508178999999,2714.00002298,5,0.1111764720588235,0.1176470588235294,157
55,33.811122889999986,-112.08185580000004,4162.3200072,6,0.1195454542727272,0.0,130
56,18.1464901,-66.57675933999998,2245.77000047,5,0.1053333331999999,0.0,158
57,39.28894043,-76.60325622999999,1887.77002325,5,0.1208333348333333,0.0,457
58,18.22563362,-66.04745483000005,5955.060043579999,8,0.1000000010384615,0.1538461538461538,210
59,37.38236237,-122.0837021,1715.66001129,6,0.1010000020999999,0.0,387
