user_id,cloud_usage
a1e4-91c8a52eb855595e653f-298ce305,False
db9a-7b8e9e94448b7fcb19b6-4edca15f,False
0d55-9ad768879e9b08ca7ff9-843f76c7,True
4baa-43285d10a6d3cc969f2a-b21881d1,False
b8cd-cbb2411db005115ca64d-32700c62,False
eec4-ba0e8feda1f4905f3d3d-8dca4ae5,False
055a-073f4618b55436f41f81-1f2d7d6f,True
b41c-a3e6a59e9b11f68bb6b7-90bd2a1e,False
ef6e-8deb3c158fa74aed8af5-a3412641,False
d8ed-37f46ad2607209a2eee3-2d85128e,False
2214-3d48bfc08be88ee0ba68-a5ccdd63,False
9b7c-301da6e0ba1e5c622824-11d92c52,False
554c-b713067ce47da9c38da6-b895e7da,True
f86b-832766d0cd7c4701846b-030fada5,False
d11a-141a6ea73e5e3ae102b6-7cc496a6,False
528c-d23a3bd8714babc1b9f2-846cfb0d,True
f98e-efb78593b46f634fafcb-f54953e8,False
fb71-5e1c6a439318ff9e094c-977ab328,True
eaa9-2260d38b85fdf84a90b8-c8cab92a,False
1895-988b653ac11d406ff4f9-39a39674,True
d4d5-22b839d907d3ce957d50-51e69c6d,True
8f7a-049478a361f648be5c66-49f35b59,True
b106-24bc7d759716f4b759af-766e9533,True
fd0a-c1e99153d2917880ef76-ff1121c1,False
ade4-e743cda591bada0b17f7-79ef26dc,True
d724-4751fd6bd913ec698750-e6a74da2,False
7707-7cc1c159d397f48bd933-15364dfa,False
8af1-7bc7cabe8220ec0e7ba3-b21ac23e,True
3b38-f1f008155e63485abf29-3635b625,False
e24f-3c900f4e1c090af800c4-14c13da3,False
6537-9c4c9391b1513391b66d-87cf0f36,False
df6e-3b894045731b46f13479-e8fe2e40,False
4df9-ff9d8e1d73925da9ccdc-43d73f8d,True
41d9-fc30c9e503fa9b232319-1c44ca41,False
fd4b-d8e0fba90babd1fc5975-6b4e1837,False
5b13-5ba9b4d7ee22a0c5249d-c61f1954,True
d81d-d6c2b423a27e6170a5bb-42732602,True
6598-3f3357d04b78f11fbb7f-32f1a523,False
1a36-9dd38aaed51e80b2ded5-2769c2c3,True
cee4-1d4d5f6cee1200951d93-34091357,False
eae6-778d90e2ebf911ccb975-539e3563,True
245b-c1f3bfda1fb1181bfa50-7e394271,False
42bc-5c7516d926c95a08ad4b-f8c99f66,False
3f67-21850035bf6e63667c70-10a960a9,False
d8ab-69b95cd6c1b88f43d830-ee8fb80b,False
34aa-4c1f29dacb97c57b327a-9719834c,True
72fb-618ae71a39a7ebde12ed-b531126f,False
5b5f-862ac087d0fa8ed099c0-e8f29960,False
20f1-21a8bcf81d2601adb2d6-6c767725,False
16c1-3980f39980019aba9325-f293484f,True
f439-2dfe1ca6530ce717702b-e6dfdcb9,False
4f05-007bac9b0be289a9cf62-af353404,True
afe8-8dce1d4d7831572102d4-52474999,True
68b6-2a8420c1201a029f98c0-2c54c5dc,True
5186-e25a37549e50f45b2b43-178eaabe,True
1b36-ba741ecb7aba112fbd00-b2d610ae,False
b723-4387f50c9081c0c58232-d6d05501,True
49f1-3593b1cb88429101d05a-1f0aedc3,False
fb8e-160c8d5fb91092acd3d5-c8942f1b,False
88db-8a8cffc4c255dc0ec580-ff99eca5,True
43a3-e70dd99e7434024294ba-0dd75f1a,False
a165-aac31c090b73b9a1527b-39843d06,False
3f18-a50fd9e1775f74503c24-c449035c,False
c672-cfbe34710d8b34493379-9c4c6a91,True
9566-40e132c3e2a65edd6290-fa76d97d,True
526c-ca155433b0608bbba287-50cad9fb,True
ac09-f45028a31efb71d65bf9-d9f92bdd,True
7d29-745828be5aa5a3f1d7d8-d088fe75,True
f2c8-e2ef66684ef4036d1dc7-5ee2fd73,False
88e9-4fe2fca9e352e4fc8d72-b6136f6b,False
4941-00698323a681202b14ba-cce261fc,True
3557-63e0144003f2733a1cce-cb6acd67,True
46cc-7ca3c4e0039edc2fcfd0-bb93b18c,True
c988-d143a1f00f05214d0808-adbb9c19,True
2210-de908b84b40ce18f001c-2b685d4d,True
5d1b-460f16cf048620771664-4103135b,True
f15c-503ac1dee025e8bbf71f-692a6fbd,True
12d1-afab1c53cf461ae3db7b-617de215,False
b59c-d963292162094e6d2e90-c3f3dcad,True
5e83-c7b5c92781a284e71c57-45e119fc,False
e399-a6fcf4222143e60f4221-39071df8,False
fe8c-b502da62379fae207076-ae6344ea,False
34bd-10feba804e017518785c-65817303,False
ab04-68a7cc6da3cd455d4fad-4c7f0a79,False
f9da-2b4a1770562dca74b0ee-148b8b8c,False
f89c-15e2455b531acf9674ae-32e6269c,True
78dd-64bf0f42305f3fbe943c-7107cccf,True
49c3-af3e5c47148ce666e402-02bf22b4,True
